Nome do Perfume,Marca,Notas de Topo,Notas de Coração,Notas de Fundo,Intensidade,Público-Alvo,Ocasiões,Fixação,Projeção
Lattafa Fakhar Rose,Lattafa,"Floral, Frutado","Rosa, Especiado","Amadeirado, Âmbar",Moderada,Feminino,"Formal, Dia",Média,Moderada
Lattafa Fakhar Preto,Lattafa,"Cítrico, Especiado","Amadeirado, Couro","Almíscar, Baunilha",Intensa,Masculino,"Noite, Formal",Longa,Forte
Lattafa Sakeena,Lattafa,"Frutado, Floral","Almíscar, Baunilha","Âmbar, Amadeirado",Moderada,Unissex,"Casual, Dia",Média,Suave
Lattafa Yara Moi,Lattafa,"Cítrico, Floral","Jasmim, Rosa","Âmbar, Almíscar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Fakhar Extrait Gold,Lattafa,"Cítrico, Frutado","Floral, Especiado","Almíscar, Âmbar, Baunilha",Intensa,Masculino,"Noite, Formal",Longa,Forte
Lattafa Yara Rosa,Lattafa,"Frutado, Floral","Rosa, Jasmim","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Khamrah Qahwa,Lattafa,"Frutado, Amadeirado","Café, Baunilha","Âmbar, Almíscar",Intensa,Masculino,Noite,Longa,Forte
Lattafa Confidential Private Gold,Lattafa,"Frutado, Amadeirado","Baunilha, Âmbar","Almíscar, Patchouli",Intensa,Unissex,"Noite, Formal",Longa,Forte
Lattafa Maahir,Lattafa,"Cítrico, Frutado","Floral, Amadeirado","Almíscar, Baunilha",Moderada,Masculino,"Casual, Dia",Média,Moderada
Lattafa Maahir Black,Lattafa,"Cítrico, Amadeirado","Especiado, Floral","Almíscar, Baunilha",Intensa,Masculino,"Noite, Formal",Longa,Forte
Lattafa Maahir Legacy,Lattafa,"Cítrico, Frutado","Floral, Especiado","Almíscar, Âmbar",Moderada,Masculino,"Casual, Dia",Média,Moderada
Lattafa Affection Love,Lattafa,"Frutado, Floral","Rosa, Jasmim","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Tharwah Silver,Lattafa,"Cítrico, Floral","Rosa, Amadeirado","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Bade'e Al Oud for Glory,Lattafa,"Frutado, Especiado","Baunilha, Amadeirado","Âmbar, Oud",Intensa,Masculino,"Noite, Formal",Longa,Forte
Lattafa Bade'e Al Oud Amethys,Lattafa,"Cítrico, Floral","Amadeirado, Baunilha","Oud, Âmbar",Intensa,Masculino,"Noite, Formal",Longa,Forte
Lattafa Asad,Lattafa,"Cítrico, Especiado","Amadeirado, Floral","Almíscar, Oud",Intensa,Masculino,Noite,Longa,Forte
Lattafa Asad Zanzibar,Lattafa,"Frutado, Cítrico","Amadeirado, Floral","Almíscar, Oud",Intensa,Masculino,Noite,Longa,Forte
Lattafa Emaan,Lattafa,"Floral, Frutado","Jasmim, Baunilha","Âmbar, Almíscar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Ajwad,Lattafa,"Especiado, Frutado","Rosa, Baunilha","Almíscar, Âmbar",Moderada,Masculino,"Casual, Dia",Média,Moderada
Lattafa Ajwad Pink,Lattafa,"Floral, Frutado","Rosa, Jasmim","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Lattafa Gharam,Lattafa,"Floral, Amadeirado","Jasmim, Rosa","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Alhambra Mist Como Moiselle,Alhambra,"Cítrico, Floral","Rosa, Jasmim","Âmbar, Almíscar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Alhambra Baroque Rouge,Alhambra,"Frutado, Amadeirado","Baunilha, Floral","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Alhambra Olivia,Alhambra,"Floral, Cítrico","Jasmim, Rosa","Âmbar, Almíscar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Alhambra Chants Tenderina,Alhambra,"Floral, Amadeirado","Baunilha, Rosa","Almíscar, Âmbar",Moderada,Feminino,"Casual, Dia",Média,Moderada
Alhambra Philos Centro,Alhambra,"Frutado, Especiado","Baunilha, Amadeirado","Oud, Âmbar",Intensa,Masculino,Noite,Longa,Forte
Alhambra Oud Mystery Intense,Alhambra,"Cítrico, Frutado","Floral, Amadeirado","Oud, Âmbar",Intensa,Masculino,Noite,Longa,Forte
Armaf Club de Nuit Intense,Armaf,"Frutado, Amadeirado","Rosa, Baunilha","Almíscar, Âmbar",Intensa,Masculino,Noite,Longa,Forte
Armaf Club de Nuit Urban Elixir,Armaf,"Cítrico, Frutado","Amadeirado, Floral","Almíscar, Oud",Intensa,Masculino,Noite,Longa,Forte